problem_size,condition_number,matrix_type,method,iterations,time,final_residual,relative_error
200,100.0,SPD Dense,Gaussian Elimination,0,0.0012523550540208817,1.5120830019041017e-13,3.2085565615017956e-15
200,100.0,SPD Dense,Steepest Descent,621,0.026836290024220943,3.927858763232989e-06,2.2202904650285653e-07
200,100.0,SPD Dense,CG (Custom),76,0.0022179600782692432,3.3123581631166875e-06,6.920594394823097e-08
200,100.0,SPD Dense,CG (SciPy),77,0.004899424966424704,3.31246157507633e-06,6.92061305232769e-08
200,100.0,SPD Dense,PCG (Jacobi),66,0.0025131339207291603,3.1247754537445355e-06,5.298718633376333e-08
200,100.0,SPD Dense,"PCG (Jacobi, SciPy)",67,0.009456153027713299,3.1247720635470458e-06,5.298718262478582e-08
200,100.0,SPD Dense,PCG (Inverse),1,0.0015940996818244457,1.1069897630352561e-12,6.293825230851957e-15
200,100.0,SPD Dense,"PCG (Inverse, SciPy)",2,0.0013288650661706924,1.1104360781853845e-12,6.293825230851957e-15
200,100.0,Banded,Gaussian Elimination,0,0.0012434138916432858,1.4149608426769113e-13,2.759536446157168e-16
200,100.0,Banded,Steepest Descent,89,0.005202772095799446,5.54749946482248e-06,3.771968256741658e-08
200,100.0,Banded,CG (Custom),30,0.010408569127321243,5.553420524904374e-06,2.0008439111190906e-08
200,100.0,Banded,CG (SciPy),31,0.0035097990185022354,5.553420525259516e-06,2.0008439111190906e-08
200,100.0,Banded,PCG (Jacobi),11,0.0014590979553759098,9.969449416836803e-07,3.3249525770705888e-09
200,100.0,Banded,"PCG (Jacobi, SciPy)",12,0.0018597347661852837,9.969449505385255e-07,3.3249525770705888e-09
200,100.0,Banded,PCG (Inverse),1,0.007514018565416336,1.5040352035645814e-13,3.2584590063910233e-16
200,100.0,Banded,"PCG (Inverse, SciPy)",2,0.00017584394663572311,1.4815288776402935e-13,3.2584590063910233e-16
200,10000.0,SPD Dense,Gaussian Elimination,0,0.0013391142711043358,1.1929739570155581e-11,1.4931431859408316e-13
200,10000.0,SPD Dense,Steepest Descent,10001,0.32873311918228865,0.2663129884960072,0.012968766551705896
200,10000.0,SPD Dense,CG (Custom),420,0.009814983233809471,0.00021115086129460997,1.8519464077291201e-06
200,10000.0,SPD Dense,CG (SciPy),392,0.017804632894694805,0.0002609955077462244,2.832973072198479e-06
200,10000.0,SPD Dense,PCG (Jacobi),388,0.014624516014009714,0.00027501829435995734,1.5475486054148105e-06
200,10000.0,SPD Dense,"PCG (Jacobi, SciPy)",354,0.023799958638846874,0.00025460143997112396,3.315002791699154e-06
200,10000.0,SPD Dense,PCG (Inverse),1,0.0010712817311286926,3.1487973551433165e-09,4.310458762017256e-13
200,10000.0,SPD Dense,"PCG (Inverse, SciPy)",2,0.00015692505985498428,3.1493329909307877e-09,4.310458762017256e-13
200,10000.0,Banded,Gaussian Elimination,0,0.0008562779985368252,5.369672690104213e-12,2.5106868073247613e-16
200,10000.0,Banded,Steepest Descent,5835,0.20254026306793094,0.0003461829596862503,2.039489708472331e-06
200,10000.0,Banded,CG (Custom),190,0.005586600862443447,0.00033168078643964913,4.5618520612933297e-07
200,10000.0,Banded,CG (SciPy),188,0.018136729951947927,0.00021526299333302933,4.209997593111543e-07
200,10000.0,Banded,PCG (Jacobi),7,0.0005860691890120506,0.00011360613920374366,2.4005218159338634e-07
200,10000.0,Banded,"PCG (Jacobi, SciPy)",8,0.0006064688786864281,0.00011360613795076834,2.4005218159338634e-07
200,10000.0,Banded,PCG (Inverse),1,0.0011505847796797752,8.07752669145156e-12,2.929972262745307e-16
200,10000.0,Banded,"PCG (Inverse, SciPy)",2,0.0001833769492805004,8.670446885248804e-12,2.929972262745307e-16
