problem_size,condition_number,matrix_type,method,iterations,time,final_residual
200,100.0,SPD Dense,Steepest Descent,437,0.03876185114495456,9.933117847952098e-07
200,100.0,SPD Dense,Conjugate Gradient,56,0.004216494970023632,9.376213435197932e-07
200,100.0,SPD Dense,PCG (Jacobi),56,0.004588749026879668,9.118977721690077e-07
200,100.0,SPD Dense,PCG (Richardson),56,0.004572085104882717,9.292277268713982e-07
200,100.0,SPD Dense,PCG (Inverse),1,0.006274855928495526,3.6655810165804605e-15
200,10000.0,SPD Dense,Steepest Descent,1000,0.04574675112962723,0.0005055793591791593
200,10000.0,SPD Dense,Conjugate Gradient,272,0.010379611048847437,9.447993895359996e-07
200,10000.0,SPD Dense,PCG (Jacobi),278,0.016807158943265676,9.195050185643571e-07
200,10000.0,SPD Dense,PCG (Richardson),271,0.01638261997140944,8.727253047540442e-07
200,10000.0,SPD Dense,PCG (Inverse),1,0.001465284964069724,1.7702769646813396e-13
200,1000000.0,SPD Dense,Steepest Descent,1000,0.03331465390510857,0.00048328883108850586
200,1000000.0,SPD Dense,Conjugate Gradient,941,0.027654559118673205,9.737400099566317e-07
200,1000000.0,SPD Dense,PCG (Jacobi),937,0.04868871299549937,9.85943418275652e-07
200,1000000.0,SPD Dense,PCG (Richardson),940,0.033246299950405955,8.91669913966265e-07
200,1000000.0,SPD Dense,PCG (Inverse),1,0.0021337540820240974,9.725728044947792e-12
200,100.0,Banded (Poisson 1D),Steepest Descent,405,0.019080274971202016,9.911774165062527e-07
200,100.0,Banded (Poisson 1D),Conjugate Gradient,50,0.0021979468874633312,7.126550822837762e-07
200,100.0,Banded (Poisson 1D),PCG (Jacobi),3,0.0005537220276892185,7.303500853953371e-09
200,100.0,Banded (Poisson 1D),PCG (Richardson),50,0.003653386142104864,7.126550822837748e-07
200,100.0,Banded (Poisson 1D),PCG (Inverse),1,0.0014564238954335451,2.732720283203178e-16
200,10000.0,Banded (Poisson 1D),Steepest Descent,1000,0.0405794580001384,3.0834405709190286e-05
200,10000.0,Banded (Poisson 1D),Conjugate Gradient,77,0.0014418268110603094,7.399093169702069e-07
200,10000.0,Banded (Poisson 1D),PCG (Jacobi),2,0.00017694011330604553,3.924139788076947e-09
200,10000.0,Banded (Poisson 1D),PCG (Richardson),77,0.002878007013350725,7.399093169702863e-07
200,10000.0,Banded (Poisson 1D),PCG (Inverse),1,0.0022373150568455458,2.127043830749808e-16
200,1000000.0,Banded (Poisson 1D),Steepest Descent,751,0.018470175098627806,9.982694810885238e-07
200,1000000.0,Banded (Poisson 1D),Conjugate Gradient,59,0.0011357448529452085,8.592898372982778e-07
200,1000000.0,Banded (Poisson 1D),PCG (Jacobi),1,0.00017778691835701466,5.0027915725522655e-08
200,1000000.0,Banded (Poisson 1D),PCG (Richardson),59,0.002677647862583399,8.592898372952692e-07
200,1000000.0,Banded (Poisson 1D),PCG (Inverse),1,0.0012316559441387653,1.6079161608358126e-16
1000,100.0,SPD Dense,Steepest Descent,415,0.060204399982467294,9.964728892888439e-07
1000,100.0,SPD Dense,Conjugate Gradient,60,0.00830915104597807,8.783836447682752e-07
1000,100.0,SPD Dense,PCG (Jacobi),60,0.03174333507195115,8.898484856551503e-07
1000,100.0,SPD Dense,PCG (Richardson),60,0.012935580918565392,8.783836447776875e-07
1000,100.0,SPD Dense,PCG (Inverse),1,0.18695581797510386,5.600772290970519e-15
1000,10000.0,SPD Dense,Steepest Descent,1000,0.19237526203505695,0.0004683744429815875
1000,10000.0,SPD Dense,Conjugate Gradient,399,0.08403071411885321,9.807450506695774e-07
1000,10000.0,SPD Dense,PCG (Jacobi),399,0.4302209068555385,8.867728279446494e-07
1000,10000.0,SPD Dense,PCG (Richardson),405,0.1224332801066339,8.938562868207883e-07
1000,10000.0,SPD Dense,PCG (Inverse),1,0.06532509904354811,2.859163530883777e-13
1000,1000000.0,SPD Dense,Steepest Descent,1000,0.30865915305912495,0.0004462811405246231
1000,1000000.0,SPD Dense,Conjugate Gradient,1000,0.2578513987828046,2.0425291851896303e-05
1000,1000000.0,SPD Dense,PCG (Jacobi),1000,0.6586552360095084,1.1449963746593553e-05
1000,1000000.0,SPD Dense,PCG (Richardson),1000,0.23105771304108202,1.3688923474853116e-05
1000,1000000.0,SPD Dense,PCG (Inverse),1,0.044217473128810525,2.3083733231235703e-11
1000,100.0,Banded (Poisson 1D),Steepest Descent,311,0.03731675003655255,9.96737905592762e-07
1000,100.0,Banded (Poisson 1D),Conjugate Gradient,53,0.009956218069419265,9.428169080501268e-07
1000,100.0,Banded (Poisson 1D),PCG (Jacobi),3,0.002584723988547921,3.7805631590810896e-07
1000,100.0,Banded (Poisson 1D),PCG (Richardson),53,0.016553418012335896,9.428169080714816e-07
1000,100.0,Banded (Poisson 1D),PCG (Inverse),1,0.23023411817848682,4.2445653278961335e-16
1000,10000.0,Banded (Poisson 1D),Steepest Descent,1000,0.9382201251573861,8.336556643019546e-06
1000,10000.0,Banded (Poisson 1D),Conjugate Gradient,148,0.03220445988699794,9.930741982284965e-07
1000,10000.0,Banded (Poisson 1D),PCG (Jacobi),2,0.003185073845088482,2.2319525320332248e-08
1000,10000.0,Banded (Poisson 1D),PCG (Richardson),148,0.034952657064422965,9.930741982279703e-07
1000,10000.0,Banded (Poisson 1D),PCG (Inverse),1,0.04859871999360621,3.3459871822771485e-16
1000,1000000.0,Banded (Poisson 1D),Steepest Descent,1000,0.1194457111414522,9.143510321993961e-06
1000,1000000.0,Banded (Poisson 1D),Conjugate Gradient,108,0.016417735954746604,9.674703336766202e-07
1000,1000000.0,Banded (Poisson 1D),PCG (Jacobi),1,0.0022513028234243393,1.299425188222523e-07
